ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 4803,,,,,,,,
NGC 4804,,,,,,,,
NGC 4805,,,,,,,,
NGC 4806,,,,,,,,
NGC 4807,,,,,,,,
NGC 4808,,,,,,,,
NGC 4809,,,,,,,,
NGC 4810,,,,,,,,
NGC 4811,,,,,,,,
NGC 4812,,,,,,,,
NGC 4813,,,,,,,,
NGC 4814,,,,,,,,
NGC 4815,,,,,,,,
NGC 4816,,,,,,,,
NGC 4817,,,,,,,,
NGC 4818,,,,,,,,
NGC 4819,,,,,,,,
NGC 4820,,,,,,,,
NGC 4821,,,,,,,,
NGC 4822,,,,,,,,
NGC 4823,,,,,,,,
NGC 4824,,,,,,,,
NGC 4825,,,,,,,,
NGC 4826,,,12 49 51,12h49m51s,67 33.5,22 26.5,22°26.5',
NGC 4827,,,,,,,,
NGC 4828,,,,,,,,
NGC 4829,,,,,,,,
NGC 4830,,,,,,,,
NGC 4831,,,12 50 06,12h50m06s,116 32.2,-26 32.2,-26°32.2',"faint, small, round, gradually brighter middle"
NGC 4832,,,,,,,,
NGC 4833,,,12 50 08,12h50m08s,160 06.9,-70 6.9,-70°6.9',"a globular cluster, bright, large, round, gradually, then very suddenly brighter middle, stars of 12th magnitude"
NGC 4834,,,,,,,,
NGC 4835,,,,,,,,
NGC 4836,,,,,,,,
NGC 4837,,,,,,,,
NGC 4838,,,,,,,,
NGC 4839,,,,,,,,
NGC 4840,,,,,,,,
NGC 4841,,,,,,,,
NGC 4842,,,,,,,,
NGC 4843,,,,,,,,
NGC 4844,,,,,,,,
NGC 4845,,,,,,,,
NGC 4846,,,,,,,,
NGC 4847,,,,,,,,
NGC 4848,,,,,,,,
NGC 4849,,,,,,,,
NGC 4850,,,12 51 29,12h51m29s,61 16.3,28 43.7,28°43.7',"faint, small, round"
NGC 4851,,,12 51 33,12h51m33s,61 05.3,28 54.7,28°54.7',"faint, very small, mottled but not resolved"
NGC 4852,,,12 51 45,12h51m45s,148 50.6,-58 50.6,-58°50.6',
NGC 4853,,,12 51 49,12h51m49s,61 38.4,28 21.6,28°21.6',"faint, small, round, pretty suddenly a little brighter middle"
NGC 4854,,,12 51 55,12h51m55s,61 34.0,28 26,28°26',"very faint, pretty large, cometic"
NGC 4855,,,12 51 58,12h51m58s,102 28.4,-12 28.4,-12°28.4',"faint, small, star involved"
NGC 4856,,,12 52 00,12h52m00s,104 17.0,-14 17,-14°17',"bright, round, pretty suddenly much brighter middle, 13th magnitude star to northwest"
NGC 4857,,,12 52 02,12h52m02s,19 01.5,70 58.5,70°58.5',"extremely faint, very small, irregularly round, very little brighter middle"
NGC 4858,,,12 52 14,12h52m14s,61 07.2,28 52.8,28°52.8',"faint, very small, preceding (western) of double nebula"
NGC 4859,,,12 52 15,12h52m15s,62 25.7,27 34.3,27°34.3',"faint, very small, round"
NGC 4860,,,12 52 17,12h52m17s,61 06.8,28 53.2,28°53.2',"pretty faint, small, round, following (eastern) of double nebula"
NGC 4861,,,12 52 23,12h52m23s,54 23.0,35 37,35°37',"very faint, pretty large, very much extended 30°±, between 2 stars"
NGC 4862,,,12 52 25,12h52m25s,103 22.2,-13 22.2,-13°22.2',"extremely faint, small, round"
NGC 4863,,,12 52 25,12h52m25s,103 17.2,-13 17.2,-13°17.2',"extremely faint, small, much extended 45°, suddenly brighter middle and nucleus"
NGC 4864,,,12 52 27,12h52m27s,61 16.0,28 44,28°44',"faint, small, preceding (western) of 2"
NGC 4865,,,12 52 29,12h52m29s,61 09.5,28 50.5,28°50.5',"very faint, very small, 7.8 magnitude star 13 seconds of time to east"
NGC 4866,,,12 52 29,12h52m29s,75 04.4,14 55.6,14°55.6',"bright, pretty large, much extended 90°, suddenly brighter middle and nucleus, small star involved"
NGC 4867,,,12 52 32,12h52m32s,61 15,28 45,28°45',"very faint, very small, stellar, following (to east of) h 1500"
NGC 4868,,,12 52 36,12h52m36s,51 56.5,38 3.5,38°3.5',"pretty bright, small, round, much brighter middle"
NGC 4869,,,12 52 37,12h52m37s,61 19.8,28 40.2,28°40.2',"considerably faint, small, round, 7th magnitude star to north"
NGC 4870,,,12 52 40,12h52m40s,52 15,37 45,37°45',"pretty faint, a little extended, between 2 stars"
NGC 4871,,,12 52 45,12h52m45s,61 17.0,28 43,28°43',"very faint, very small, stellar nucleus"
NGC 4872,,,12 52 49,12h52m49s,61 17.0,28 43,28°43',"pretty faint, pretty small, round"
NGC 4873,,,12 52 49,12h52m49s,61 15.5,28 44.5,28°44.5',"very faint, very small"
NGC 4874,,,12 52 53,12h52m53s,61 17.1,28 42.9,28°42.9',"faint, h 1501 and 1502 preceding (to the west)"
NGC 4875,,,12 52 53,12h52m53s,61 19,28 41,28°41',"very faint, very small, stellar"
NGC 4876,,,12 53 02,12h53m02s,61 19,28 41,28°41',"very faint, very small, no nucleus"
NGC 4877,,,12 53 03,12h53m03s,104 31.7,-14 31.7,-14°31.7',"pretty bright, pretty large, much brighter middle"
NGC 4878,,,12 53 06,12h53m06s,95 21.0,-5 21,-5°21',"very faint, very small, preceding (western) of 2"
NGC 4879,,,,,,,,
NGC 4880,,,12 53 09,12h53m09s,76 46.3,13 13.7,13°13.7',"considerably faint, pretty large, round, very gradually a little brighter middle, mottled but not resolved"
NGC 4881,,,12 53 11,12h53m11s,60 59.9,29 0.1,29°0.1',"faint, small, a little extended, 9th magnitude star to southwest"
NGC 4882,,,12 53 12,12h53m12s,61 16.0,28 44,28°44',"very faint, small, others near"
NGC 4883,,,12 53 13,12h53m13s,61 12,28 48,28°48',"very faint, small, stellar"
NGC 4884,,,12 53 15,12h53m15s,61 16.3,28 43.7,28°43.7',
NGC 4885,,,12 53 17,12h53m17s,96 05.8,-6 5.8,-6°5.8',"very faint, small, extended"
NGC 4886,,,12 53 18,12h53m18s,61 15.9,28 44.1,28°44.1',"faint, small, round, II 391 four seconds of time to east"
NGC 4887,,,12 53 18,12h53m18s,103 54.7,-13 54.7,-13°54.7',"very faint, I 69 to northeast"
NGC 4888,,,12 53 21,12h53m21s,95 19.0,-5 19,-5°19',"pretty faint, considerably small, extended, pretty suddenly brighter middle, double star to northwest"
NGC 4889,,,12 53 22,12h53m22s,61 16.0,28 44,28°44',"pretty bright, pretty much extended, brighter middle, 7th magnitude star to north"
NGC 4890,,,12 53 24,12h53m24s,93 50.1,-3 50.1,-3°50.1',"considerably faint, small, irregularly round, brighter middle"
NGC 4891,,,12 53 24,12h53m24s,102 40.0,-12 40,-12°40',
NGC 4892,,,12 53 28,12h53m28s,62 21.1,27 38.9,27°38.9',very faint
NGC 4893,,,12 53 29,12h53m29s,52 03.5,37 56.5,37°56.5',"very faint, 20th magnitude star to southwest, 17th magnitude star to northeast"
NGC 4894,,,12 53 30,12h53m30s,61 17.2,28 42.8,28°42.8',"pretty faint, small, round"
NGC 4895,,,12 53 30,12h53m30s,61 02.5,28 57.5,28°57.5',"very faint, small, round"
NGC 4896,,,12 53 31,12h53m31s,60 56,29 4,29°4',"very faint, very small, round, much brighter middle"
NGC 4897,,,12 53 31,12h53m31s,102 41.9,-12 41.9,-12°41.9',faint
NGC 4898,,,12 53 32,12h53m32s,61 18,28 42,28°42',"very faint, small, close to h 1510"
NGC 4899,,,12 53 34,12h53m34s,103 11.5,-13 11.5,-13°11.5',"pretty faint, extremely large"
NGC 4900,,,,,,,,
NGC 4901,,,,,,,,
NGC 4902,,,,,,,,
NGC 4903,,,,,,,,
NGC 4904,,,,,,,,
NGC 4905,,,,,,,,
NGC 4906,,,,,,,,
NGC 4907,,,,,,,,
NGC 4908,,,,,,,,
NGC 4909,,,,,,,,
NGC 4910,,,,,,,,
NGC 4911,,,,,,,,
NGC 4912,,,,,,,,
NGC 4913,,,,,,,,
NGC 4914,,,,,,,,
NGC 4915,,,,,,,,
NGC 4916,,,,,,,,
NGC 4917,,,,,,,,
NGC 4918,,,,,,,,
NGC 4919,,,,,,,,
NGC 4920,,,,,,,,
NGC 4921,,,,,,,,
NGC 4922,,,,,,,,
NGC 4923,,,,,,,,
NGC 4924,,,,,,,,
NGC 4925,,,,,,,,
NGC 4926,,,,,,,,
NGC 4927,,,,,,,,
NGC 4928,,,,,,,,
NGC 4929,,,,,,,,
NGC 4930,,,,,,,,
NGC 4931,,,,,,,,
NGC 4932,,,,,,,,
NGC 4933,,,,,,,,
NGC 4934,,,,,,,,
NGC 4935,,,,,,,,
NGC 4936,,,,,,,,
NGC 4937,,,,,,,,
NGC 4938,,,,,,,,
NGC 4939,,,,,,,,
NGC 4940,,,,,,,,
NGC 4941,,,,,,,,
NGC 4942,,,,,,,,
NGC 4943,,,,,,,,
NGC 4944,,,,,,,,
NGC 4945,,,,,,,,
NGC 4946,,,,,,,,
NGC 4947,,,,,,,,
NGC 4948,,,,,,,,
NGC 4949,,,,,,,,
NGC 4950,,,,,,,,
NGC 4951,,,,,,,,
NGC 4952,,,,,,,,
NGC 4953,,,,,,,,
NGC 4954,,,,,,,,
NGC 4955,,,,,,,,
NGC 4956,,,,,,,,
NGC 4957,,,,,,,,
NGC 4958,,,,,,,,
NGC 4959,,,,,,,,
NGC 4960,,,,,,,,
NGC 4961,,,,,,,,
NGC 4962,,,,,,,,
NGC 4963,,,,,,,,
NGC 4964,,,,,,,,
NGC 4965,,,,,,,,
NGC 4966,,,,,,,,
NGC 4967,,,,,,,,
NGC 4968,,,,,,,,
NGC 4969,,,,,,,,
NGC 4970,,,,,,,,
NGC 4971,,,,,,,,
NGC 4972,,,,,,,,
NGC 4973,,,,,,,,
NGC 4974,,,,,,,,
NGC 4975,,,,,,,,
NGC 4976,,,,,,,,
NGC 4977,,,,,,,,
NGC 4978,,,,,,,,
NGC 4979,,,,,,,,
NGC 4980,,,,,,,,
NGC 4981,,,,,,,,
NGC 4982,,,,,,,,
NGC 4983,,,,,,,,
NGC 4984,,,,,,,,
NGC 4985,,,,,,,,
NGC 4986,,,,,,,,
NGC 4987,,,,,,,,
NGC 4988,,,,,,,,
NGC 4989,,,,,,,,
NGC 4990,,,,,,,,
NGC 4991,,,,,,,,
NGC 4992,,,,,,,,
NGC 4993,,,13 02 12,13h02m12s,112 38.4,-22 38.4,-22°38.4',"very faint, very small"
NGC 4994,,,13 02 16,13h02m16s,111 48.1,-21 48.1,-21°48.1',"pretty faint, considerably small, round, suddenly a little brighter middle, among stars"
NGC 4995,,,,,,,,
NGC 4996,,,,,,,,
NGC 4997,,,,,,,,
NGC 4998,,,,,,,,
NGC 4999,,,,,,,,
NGC 5000,,,,,,,,
NGC 5001,,,13 03 38,13h03m38s,35 44.5,54 15.5,54°15.5',"pretty faint, small, irregularly round, gradually brighter middle"
NGC 5002,,,13 04 08,13h04m08s,52 36.4,37 23.6,37°23.6',"very faint, pretty large, extended, 13th magnitude star attached on north"
NGC 5003,,,13 04 15,13h04m15s,47 27.3,42 32.7,42°32.7',"very faint, pretty small, a little brighter middle, Minute of RA?"
NGC 5004,,,13 04 21,13h04m21s,59 36.7,30 23.3,30°23.3',"very faint, very small, very little extended"
NGC 5005,,,13 04 25,13h04m25s,52 11.6,37 48.4,37°48.4',"very bright, very large, very much extended 66°, very suddenly brighter middle and nucleus"
NGC 5006,,,13 04 30,13h04m30s,108 30,-18 30,-18°30',
NGC 5007,,,13 04 35,13h04m35s,27 07.3,62 52.7,62°52.7',"very faint, very small"
NGC 5008,,,13 04 37,13h04m37s,63 51.7,26 8.3,26°8.3',"pretty faint, pretty large, round"
NGC 5009,,,13 04 46,13h04m46s,39 09.9,50 50.1,50°50.1',"very faint, round, between 2 very small stars"
NGC 5010,,,13 04 51,13h04m51s,105 03.2,-15 3.2,-15°3.2',"very faint, round, brighter middle, 10th magnitude star 5 arcmin to northwest"
NGC 5011,,,13 04 52,13h04m52s,132 21.1,-42 21.1,-42°21.1',"pretty bright, considerably small, round, among 4 stars"
NGC 5012,,,13 04 53,13h04m53s,66 20.4,23 39.6,23°39.6',"pretty faint, considerably large, extended 17°, binuclear, 9th magnitude star to east"
NGC 5013,,,13 05 00,13h05m00s,86 04,3 56,3°56',"very faint, very small"
NGC 5014,,,13 05 02,13h05m02s,52 58.7,37 1.3,37°1.3',"pretty faint, small, extended, pretty suddenly brighter middle"
NGC 5015,,,13 05 08,13h05m08s,93 36.0,-3 36,-3°36',"faint, considerably large, irregularly round, a little brighter middle"
NGC 5016,,,13 05 23,13h05m23s,65 09.8,24 50.2,24°50.2',"pretty bright, small"
NGC 5017,,,13 05 28,13h05m28s,106 00.9,-16 00.9,-16°00.9',"very faint, round, brighter middle"
NGC 5018,,,13 05 31,13h05m31s,108 46.1,-18 46.1,-18°46.1',"considerably bright, small, round, much brghter middle pretty bright nucleus"
NGC 5019,,,13 05 37,13h05m37s,84 31.1,5 28.9,5°28.9',"extremely faint, very small, round, extremely mottled but not resolved"
NGC 5020,,,13 05 43,13h05m43s,76 39.5,13 20.5,13°20.5',"considerably faint, considerably large, very little extended, a little brighter middle"
NGC 5021,,,13 05 46,13h05m46s,43 04.0,46 56,46°56',"pretty faint, considerably small, round, 12th magnitude star 90 arcsec to northeast"
NGC 5022,,,13 05 55,13h05m55s,108 46,-18 46,-18°46',"very faint, pretty large, extended 30°, gradually brighter middle. east of II 746, faint star close preceding (to west)"
NGC 5023,,,13 05 56,13h05m56s,45 12.8,44 47.2,44°47.2',"pretty faint, large, much extended 20°, very little brighter middle"
NGC 5024,,,13 06 04,13h06m04s,71 05.3,18 54.7,18°54.7',
NGC 5025,,,13 06 10,13h06m10s,57 26.7,32 33.3,32°33.3',"very faint, small, a little extended, 13th magnitude star to north"
NGC 5026,,,13 06 14,13h06m14s,132 13.0,-42 13,-42°13',"pretty bright, pretty large, round, gradually brighter middle, 7th magnitude star to northeast"
NGC 5027,,,13 06 17,13h06m17s,83 11.6,6 48.4,6°48.4',"very faint, small, round, pretty gradually brighter middle"
NGC 5028,,,13 06 22,13h06m22s,102 17.9,-12 17.9,-12°17.9',"very faint, small, 11th or 12th magnitude star to west"
NGC 5029,,,13 06 27,13h06m27s,42 10.7,47 49.3,47°49.3',"faint, very small, round, gradually brighter middle"
NGC 5030,,,13 06 28,13h06m28s,105 45.0,-15 45,-15°45',"very faint, small"
NGC 5031,,,13 06 37,13h06m37s,105 23,-15 23,-15°23',"very faint, stellar"
NGC 5032,,,13 06 46,13h06m46s,61 27.5,28 32.5,28°32.5',"very faint, pretty large, irregularly round"
NGC 5033,,,13 07 00,13h07m00s,52 39.7,37 20.3,37°20.3',"very bright, pretty large, extended 167°, suddenly much brighter middle very bright nucleus, star to northwest"
NGC 5034,,,13 07 19,13h07m19s,18 36.2,71 23.8,71°23.8',"very faint, very small, round"
NGC 5035,,,13 07 22,13h07m22s,105 46,-15 46,-15°46',"faint, small, round, brighter middle and nucleus"
NGC 5036,,,13 07 27,13h07m27s,93 26.4,-3 26.4,-3°26.4',"extremely faint, very small, round, gradually brighter middle, 1st of 2"
NGC 5037,,,13 07 33,13h07m33s,105 51.0,-15 51,-15°51',"considerably faint, pretty small, very little extended, brighter middle"
NGC 5038,,,13 07 36,13h07m36s,105 12,-15 12,-15°12',"pretty bright, extended 90°, stellar"
NGC 5039,,,13 07 39,13h07m39s,93 25.4,-3 25.4,-3°25.4',"extremely faint, extremely small, extended 45°, 2nd of 2"
NGC 5040,,,13 07 50,13h07m50s,37 58.2,52 1.8,52°1.8',"faint, small, irregularly round, very gradually much brighter middle"
NGC 5041,,,13 07 55,13h07m55s,58 23.1,31 36.9,31°36.9',"faint, small, round"
NGC 5042,,,13 07 56,13h07m56s,113 14.5,-23 14.5,-23°14.5',"faint, large, round, very gradually very little brighter middle, 9th magnitude star to west"
NGC 5043,,,13 07 56,13h07m56s,149 19.2,-59 19.2,-59°19.2',
NGC 5044,,,13 07 57,13h07m57s,105 38.8,-15 38.8,-15°38.8',"pretty bright, pretty large, round, brighter middle"
NGC 5045,,,13 07 59,13h07m59s,152 40.4,-62 40.4,-62°40.4',
NGC 5046,,,13 08 17,13h08m17s,105 35,-15 35,-15°35',"faint, very small, round, stellar nucleus"
NGC 5047,,,13 08 21,13h08m21s,105 44.5,-15 44.5,-15°44.5',very faint
NGC 5048,,,13 08 26,13h08m26s,117 40.9,-27 40.9,-27°40.9',"pretty faint, round, southwestern of 2"
NGC 5049,,,13 08 32,13h08m32s,105 39.0,-15 39,-15°39',"considerably faint, small"
NGC 5050,,,13 08 32,13h08m32s,86 24,3 36,3°36',"faint, very small, stellar"
NGC 5051,,,13 08 47,13h08m47s,117 35.6,-27 35.6,-27°35.6',
NGC 5052,,,13 09 00,13h09m00s,59 34.7,30 25.3,30°25.3',very faint
NGC 5053,,,13 09 31,13h09m31s,71 35.2,18 24.8,18°24.8',
NGC 5054,,,13 09 31,13h09m31s,105 53.8,-15 53.8,-15°53.8',"faint, pretty small, irregularly round"
NGC 5055,,,13 09 32,13h09m32s,47 13.7,42 46.3,42°46.3',"very bright, large, pretty much extended 120°±, very suddenly much brighter middle and bright nucleus"
NGC 5056,,,13 09 38,13h09m38s,58 18.2,31 41.8,31°41.8',"considerably faint, considerably small, round, southwestern of 2"
NGC 5057,,,13 09 52,13h09m52s,58 13.3,31 46.7,31°46.7',"considerably faint, considerably small, round, northeastern of 2"
NGC 5058,,,13 09 55,13h09m55s,76 43,13 17,13°17',very very faint
NGC 5059,,,13 09 57,13h09m57s,81 25,8 35,8°35',"extremely faint, small, a little extended"
NGC 5060,,,13 10 13,13h10m13s,83 12.9,6 47.1,6°47.1',"faint, small, a little extended"
NGC 5061,,,13 10 27,13h10m27s,116 06.8,-26 6.8,-26°6.8',"very bright, small, round, very suddenly much brighter middle, 10th magnitude star to east"
NGC 5062,,,13 10 34,13h10m34s,124 41.5,-34 41.5,-34°41.5',"extremely faint, very small, extended, mottled but not resolved"
NGC 5063,,,13 10 34,13h10m34s,124 35.3,-34 35.3,-34°35.3',"extremely faint, very small, round, star near"
NGC 5064,,,13 10 46,13h10m46s,137 10.4,-47 10.4,-47°10.4',"bright, small, round, pretty suddenly a little brighter middle"
NGC 5065,,,13 10 57,13h10m57s,58 10.0,31 50,31°50',"very faint, considerably small"
NGC 5066,,,13 11 07,13h11m07s,99 30,-9 30,-9°30',"very faint, very small"
NGC 5067,,,13 11 07,13h11m07s,99 24,-9 24,-9°24',"very faint, very small"
NGC 5068,,,,,,,,
NGC 5069,,,13 11 25,13h11m25s,99 28.4,-9 28.4,-9°28.4',"extremely faint, very small (perhaps = m 251?)"
NGC 5070,,,13 11 31,13h11m31s,101 50.2,-11 50.2,-11°50.2',"most extremely faint, extremely small, very faint star close, 5730 near"
NGC 5071,,,13 11 36,13h11m36s,81 19,8 41,8°41',"extremely faint, extremely small, stellar"
NGC 5072,,,13 11 50,13h11m50s,101 48.1,-11 48.1,-11°48.1',"faint, small, 14th magnitude star to northeast"
NGC 5073,,,13 11 55,13h11m55s,104 06.9,-14 6.9,-14°6.9',"very faint, pretty large, pretty much extended 135°±"
NGC 5074,,,13 11 56,13h11m56s,57 47.3,32 12.7,32°12.7',"extremely faint, very small"
NGC 5075,,,13 12 06,13h12m06s,81 25,8 35,8°35',"very faint, extremely small, stellar"
NGC 5076,,,13 12 08,13h12m08s,102 00.1,-12 00.1,-12°00.1',"very faint, considerably small, round, 1st of 3"
NGC 5077,,,13 12 09,13h12m09s,101 55.2,-11 55.2,-11°55.2',"pretty bright, small, very little extended, suddenly brighter middle, 2nd of 3"
NGC 5078,,,13 12 10,13h12m10s,116 40.1,-26 40.1,-26°40.1',"pretty bright, pretty small, considerably extended, pretty suddenly brighter middle, 7th or 8th magnitude star to east"
NGC 5079,,,13 12 15,13h12m15s,101 57.8,-11 57.8,-11°57.8',"considerably faint, pretty small, very little extended, 3rd of 3"
NGC 5080,,,13 12 17,13h12m17s,80 50.5,9 9.5,9°9.5',"faint, small, 7th magnitude star to northeast"
NGC 5081,,,13 12 31,13h12m31s,60 45.4,29 14.6,29°14.6',"pretty faint, small, irregularly round, 7th or 8th magnitude star to northwest"
NGC 5082,,,13 12 33,13h12m33s,132 58.1,-42 58.1,-42°58.1',"very faint, small, round, 1st of 4"
NGC 5083,,,13 12 37,13h12m37s,49 39.7,40 20.3,40°20.3',"pretty faint, pretty large, round"
NGC 5084,,,13 12 42,13h12m42s,111 04.6,-21 4.6,-21°4.6',"considerably bright, considerably small, very little extended 90±, brightest toward the eastern side"
NGC 5085,,,13 12 44,13h12m44s,113 40.1,-23 40.1,-23°40.1',"faint, large, round, very gradually a little brighter middle"
NGC 5086,,,13 12 55,13h12m55s,132 59.4,-42 59.4,-42°59.4',"extremely faint, very small, round, 2nd of 4"
NGC 5087,,,13 12 56,13h12m56s,109 52.1,-19 52.1,-19°52.1',"considerably faint, very small, irregular figure"
NGC 5088,,,13 12 58,13h12m58s,101 50.1,-11 50.1,-11°50.1',"pretty bright, pretty small, round, brighter middle"
NGC 5089,,,13 13 03,13h13m03s,59 01.6,30 58.4,30°58.4',"pretty faint, pretty large, gradually brighter middle"
NGC 5090,,,13 13 04,13h13m04s,132 58.7,-42 58.7,-42°58.7',"pretty bright, pretty large, round, 3rd of 4"
NGC 5091,,,13 13 09,13h13m09s,132 59.9,-42 59.9,-42°59.9',"considerably faint, small, very little extended, 4th of 4"
NGC 5092,,,13 13 10,13h13m10s,66 16.1,23 43.9,23°43.9',"pretty bright, pretty large, irregularly round, 17th magnitude star to south"
NGC 5093,,,13 13 20,13h13m20s,48 51.4,41 8.6,41°8.6',"very faint, small, round, a little brighter middle"
NGC 5094,,,13 13 22,13h13m22s,103 20.9,-13 20.9,-13°20.9',"considerably faint, very small, round, gradually brighter middle"
NGC 5095,,,13 13 25,13h13m25s,91 34.1,-1 34.1,-1°34.1',"very faint, irregularly round, 11th magnitude star to southwest"
NGC 5096,,,13 13 39,13h13m39s,56 11.0,33 49,33°49',"very faint, considerably small, round, brighter middle, southwestern of 2"
NGC 5097,,,13 13 40,13h13m40s,101 46.8,-11 46.8,-11°46.8',"extremely faint, extremely small, round, stellar, nearly between 2 stars"
NGC 5098,,,13 13 47,13h13m47s,56 07.3,33 52.7,33°52.7',"very faint, small, between 2 stars, northeastern of 2"
NGC 5099,,,13 13 56,13h13m56s,102 21.0,-12 21,-12°21',"extremely faint, extremely small, round"
NGC 5100,,,,,,,,
NGC 5101,,,,,,,,
NGC 5102,,,,,,,,
NGC 5103,,,,,,,,
NGC 5104,,,,,,,,
NGC 5105,,,,,,,,
NGC 5106,,,,,,,,
NGC 5107,,,,,,,,
NGC 5108,,,,,,,,
NGC 5109,,,,,,,,
NGC 5110,,,,,,,,
NGC 5111,,,,,,,,
NGC 5112,,,,,,,,
NGC 5113,,,,,,,,
NGC 5114,,,,,,,,
NGC 5115,,,,,,,,
NGC 5116,,,,,,,,
NGC 5117,,,,,,,,
NGC 5118,,,,,,,,
NGC 5119,,,,,,,,
NGC 5120,,,,,,,,
NGC 5121,,,,,,,,
NGC 5122,,,,,,,,
NGC 5123,,,,,,,,
NGC 5124,,,,,,,,
NGC 5125,,,,,,,,
NGC 5126,,,,,,,,
NGC 5127,,,,,,,,
NGC 5128,,,,,,,,
NGC 5129,,,,,,,,
NGC 5130,,,,,,,,
NGC 5131,,,,,,,,
NGC 5132,,,,,,,,
NGC 5133,,,,,,,,
NGC 5134,,,,,,,,
NGC 5135,,,,,,,,
NGC 5136,,,,,,,,
NGC 5137,,,,,,,,
NGC 5138,,,,,,,,
NGC 5139,,,13 18 24,13h18m24s,136 34.8,-46 34.8,-46°34.8',"a magnificent object (!!!), a globular cluster, ω Centauri"
NGC 5140,,,,,,,,
NGC 5141,,,,,,,,
NGC 5142,,,,,,,,
NGC 5143,,,,,,,,
NGC 5144,,,,,,,,
NGC 5145,,,,,,,,
NGC 5146,,,,,,,,
NGC 5147,,,,,,,,
NGC 5148,,,,,,,,
NGC 5149,,,,,,,,
NGC 5150,,,,,,,,
NGC 5151,,,,,,,,
NGC 5152,,,,,,,,
NGC 5153,,,,,,,,
NGC 5154,,,,,,,,
NGC 5155,,,,,,,,
NGC 5156,,,,,,,,
NGC 5157,,,,,,,,
NGC 5158,,,,,,,,
NGC 5159,,,,,,,,
NGC 5160,,,,,,,,
NGC 5161,,,,,,,,
NGC 5162,,,,,,,,
NGC 5163,,,,,,,,
NGC 5164,,,,,,,,
NGC 5165,,,,,,,,
NGC 5166,,,,,,,,
NGC 5167,,,,,,,,
NGC 5168,,,,,,,,
NGC 5169,,,,,,,,
NGC 5170,,,,,,,,
NGC 5171,,,,,,,,
NGC 5172,,,,,,,,
NGC 5173,,,,,,,,
NGC 5174,,,,,,,,
NGC 5175,,,,,,,,
NGC 5176,,,,,,,,
NGC 5177,,,,,,,,
NGC 5178,,,,,,,,
NGC 5179,,,,,,,,
NGC 5180,,,,,,,,
NGC 5181,,,,,,,,
NGC 5182,,,,,,,,
NGC 5183,,,,,,,,
NGC 5184,,,,,,,,
NGC 5185,,,,,,,,
NGC 5186,,,,,,,,
NGC 5187,,,,,,,,
NGC 5188,,,,,,,,
NGC 5189,,,,,,,,
NGC 5190,,,,,,,,
NGC 5191,,,,,,,,
NGC 5192,,,,,,,,
NGC 5193,,,,,,,,
NGC 5194,,,13 23 58,13h23m58s,42 04.9,47 55.1,47°55.1',"a magnificent or otherwise interesting object, Great Spiral nebula"
NGC 5195,,,,,,,,
NGC 5196,,,,,,,,
NGC 5197,,,,,,,,
NGC 5198,,,,,,,,
NGC 5199,,,,,,,,
NGC 5200,,,,,,,,
NGC 5201,,,,,,,,
NGC 5202,,,,,,,,
NGC 5203,,,,,,,,
NGC 5204,,,,,,,,
NGC 5205,,,,,,,,
NGC 5206,,,,,,,,
NGC 5207,,,,,,,,
NGC 5208,,,,,,,,
NGC 5209,,,,,,,,
NGC 5210,,,,,,,,
NGC 5211,,,,,,,,
NGC 5212,,,,,,,,
NGC 5213,,,,,,,,
NGC 5214,,,,,,,,
NGC 5215,,,,,,,,
NGC 5216,,,,,,,,
NGC 5217,,,,,,,,
NGC 5218,,,,,,,,
NGC 5219,,,,,,,,
NGC 5220,,,,,,,,
NGC 5221,,,,,,,,
NGC 5222,,,,,,,,
NGC 5223,,,,,,,,
NGC 5224,,,,,,,,
NGC 5225,,,,,,,,
NGC 5226,,,,,,,,
NGC 5227,,,,,,,,
NGC 5228,,,,,,,,
NGC 5229,,,,,,,,
NGC 5230,,,,,,,,
NGC 5231,,,,,,,,
NGC 5232,,,,,,,,
NGC 5233,,,,,,,,
NGC 5234,,,,,,,,
NGC 5235,,,,,,,,
NGC 5236,,,13 29 09,13h29m09s,119 09.0,-29 9,-29°9',
NGC 5237,,,,,,,,
NGC 5238,,,,,,,,
NGC 5239,,,,,,,,
NGC 5240,,,,,,,,
NGC 5241,,,,,,,,
NGC 5242,,,,,,,,
NGC 5243,,,,,,,,
NGC 5244,,,,,,,,
NGC 5245,,,,,,,,
NGC 5246,,,,,,,,
NGC 5247,,,,,,,,
NGC 5248,,,,,,,,
NGC 5249,,,,,,,,
NGC 5250,,,13 30 50,13h30m50s,38 01.5,51 58.5,51°58.5',"pretty bright, small, round, very gradually brighter middle"
NGC 5251,,,13 30 53,13h30m53s,61 51.8,28 8.2,28°8.2',"very faint, small, very little extended"
NGC 5252,,,13 31 12,13h31m12s,84 46.2,5 13.8,5°13.8',"very faint, small, round, brighter middle"
NGC 5253,,,13 32 00,13h32m00s,120 55.6,-30 55.6,-30°55.6',"bright, pretty large, extended 45°±, pretty suddenly much brighter middle"
NGC 5254,,,13 32 14,13h32m14s,100 47.0,-10 47,-10°47',"pretty bright, large, pretty much extended, gradually a little brighter middle"
NGC 5255,,,13 32 22,13h32m22s,32 10.9,57 49.1,57°49.1',"very faint, very small"
