ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 80,,,00 13 55,00h13m55s,68 25.2,21 34.8,21°34.8',"faint, small, round, pretty suddenly brighter middle"
NGC 81,,,00 13 57,00h13m57s,68 23.7,21 36.3,21°36.3',"most extremely faint, southwest of h 17"
NGC 82,,,00 14 02,00h14m02s,68 18.9,21 41.1,21°41.1',"extremely faint, stellar"
NGC 83,,,00 14 05,00h14m05s,68 20.6,21 39.4,21°39.4',"extended, binuclear, 3 bright stars near"
NGC 84,,,00 14 05,00h14m05s,68 09.7,21 50.3,21°50.3',"extremely faint, star and nebulosity"
NGC 85,,,00 14 08,00h14m08s,68 15.8,21 44.2,21°44.2',"most extremely faint, considerably large, round"
NGC 86,,,00 14 11,00h14m11s,68 13.1,21 46.9,21°46.9',"extremely faint, very small, a little brighter middle"
NGC 87,,,00 14 19,00h14m19s,139 24.7,-49 24.7,-49°24.7',"extremely faint, small, round, gradually brighter middle, 1st of 4"
NGC 88,,,00 14 28,00h14m28s,139 25.2,-49 25.2,-49°25.2',"extremely faint, very small, round, 2nd of 4"
NGC 89,,,00 14 30,00h14m30s,139 26.6,-49 26.6,-49°26.6',"very faint, small, round, gradually brighter middle, 3rd of 4"
NGC 90,,,00 14 35,00h14m35s,68 21.2,21 38.8,21°38.8',"very faint, a little extended."
NGC 91,,,00 14 36,00h14m36s,68 22.9,21 37.1,21°37.1',"very faint, very small, 13th magnitude star to southwest."
NGC 92,,,00 14 37,00h14m37s,139 24.4,-49 24.4,-49°24.4',"faint, small, round, gradually brighter middle, 4th of 4"
NGC 93,,,00 14 47,00h14m47s,68 22.1,21 37.9,21°37.9',"very faint, very small"
NGC 94,,,00 14 58,00h14m58s,68 16.9,21 43.1,21°43.1',"extremely faint, very small"
NGC 95,,,00 15 01,00h15m01s,80 17.8,9 42.2,9°42.2',"faint, pretty large, round, gradually brighter middle"
NGC 96,,,00 15 02,00h15m02s,68 13.0,21 47,21°47',"very faint, small, a very little brighter middle"
NGC 97,,,00 15 11,00h15m11s,61 01.5,28 58.5,28°58.5',"faint, very small, round, gradually brighter middle"
NGC 98,,,00 15 56,00h15m56s,136 03.2,-46 3.2,-46°3.2',
NGC 99,,,00 16 45,00h16m45s,75 00.4,14 59.6,14°59.6',"very faint, pretty large, round, gradually brighter middle"
NGC 100,,,00 16 48,00h16m48s,74 17.7,15 42.3,15°42.3',"very faint, pretty small, much extended"
NGC 101,,,00 16 56,00h16m56s,123 19.4,-33 19.4,-33°19.4',"pretty bright, pretty large, a little extended, 14th magnitude star to east"
NGC 102,,,00 17 30,00h17m30s,104 45,-14 45,-14°45',"extremely faint, very small, round"
NGC 103,,,00 17 38,00h17m38s,29 26.7,60 33.3,60°33.3',"a cluster, pretty small, pretty compressed, stars from 11th to 18th magnitude"
NGC 104,,,00 17 47,00h17m47s,162 51.6,-72 51.6,-72°51.6',"a globular cluster, very remarkable, very bright, very large, very much compressed middle"
NGC 105,,,00 18 03,00h18m03s,77 53.4,12 6.6,12°6.6',"very faint, small, round, a very little brighter middle"
NGC 106,,,00 18 30,00h18m30s,95 56,-5 56,-5°56',"pretty faint, very small, round, a little brighter middle"
NGC 107,,,00 18 40,00h18m40s,99 03,-9 3,-9°3',"faint, pretty large, 7th magnitude star 5 arcmin to southeast"
NGC 108,,,00 18 40,00h18m40s,61 33.8,28 26.2,28°26.2',"pretty faint, pretty large, round, pretty suddenly a little brighter middle"
NGC 109,,,00 18 51,00h18m51s,68 58.3,21 1.7,21°1.7',"very faint, small, 3 stars near"
NGC 110,,,00 19 19,00h19m19s,19 23.0,70 37,70°37',"a cluster, pretty round, a little compressed, stars from 9th to 12th magnitude"
NGC 111,1.0,,00 19 30,00h19m30s,93 24.0,-3 24,-3°24',"very faint, small, round, a little brighter middle, 8.5 magnitude star 36 seconds of time to west and 2 arcmin to north (? = 5100)"
NGC 112,,,00 19 32,00h19m32s,59 04.1,30 55.9,30°55.9',"extremely faint, very small, round"
NGC 113,,,00 19 46,00h19m46s,93 16.6,-3 16.6,-3°16.6',"very faint, small, suddenly brighter middle"
NGC 114,,,00 19 49,00h19m49s,92 33.8,-2 33.8,-2°33.8',"very faint, small star in center, western of 2"
NGC 115,,,00 19 51,00h19m51s,124 27.4,-34 27.4,-34°27.4',"very faint, pretty large, a little extended, double star 2 arcmin to northwest"
NGC 116
NGC 117,,,00 20 00,00h20m00s,89 27,0 33,0°33',"faint, very small"
NGC 118,,,00 20 07,00h20m07s,92 33.3,-2 33.3,-2°33.3',"very faint, small star in centre, eastern of 2"
NGC 119,,,00 20 17,00h20m17s,147 45.4,-57 45.4,-57°45.4',"pretty bright, small, round, much brighter middle"
NGC 120,,,00 20 20,00h20m20s,92 12,-2 12,-2°12',a nebulous star
NGC 121,,,00 20 25,00h20m25s,162 18.4,-72 18.4,-72°18.4',"pretty bright, pretty small, a little extended, very gradually brighter middle"
