No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N0104,52,2322,...,"LacI1, Dunlop 18",00,17,47,,+2.72,162,51.6,,-20.0,"GC!! vB, vL, vmCM",#
N0105,...,...,...,"St XIII, Sw V",00,18,03,,+3.10,77,53.4,,-20.0,"vF, S, R, vlbM",...
N0106,...,...,...,L I,00,18,30,,+3.06,95,56,,-20.0,"pF, vS, R, lbM",...
N0107,5099,...,...,O Struve,00,18,40,,+3.05,99,03,,-20.0,"F, pL, *7 sf 5'",...
N0108,53,21,III 148,...,00,18,40,,+3.13,61,33.8,,-20.0,"pF, pL, R, pslbM",...
N0109,54,...,...,d'A,00,18,51,,+3.12,68,58.3,,-20.0,"vF, S, 3 st nr",...
N0110,55,22,...,...,00,19,19,,+3.41,19,23.0,,-20.0,"Cl, pR, lC, st 9...12",...
N0111,...,...,...,L II,00,19,30,,+3.07,93,24.0,,-20.0,"vF, S, R, lbM, *8.5 p 36sec, n 2' (?=5100)",...
N0112,...,...,...,Sw II,00,19,32,,+3.14,59,04.1,,-20.0,"eF, vS, R",...
N0113,5100,...,...,T I,00,19,46,,+3.07,93,16.6,,-20.0,"vF, S, sbM",...
N0114,...,...,...,T IV,00,19,49,,+3.07,92,33.8,,-20.0,"vF, S * in centre, p of 2",...
N0115,56,2323,...,...,00,19,51,,+2.99,124,27.4,,-20.0,"vF, pL, lE, D* 2' np",...
N0116,5101,...,...,Secchi,00,19,59,,+3.05,98,43.2,,-20.0,vF,...
N0117,5102,...,...,m 8,00,20,00,,+3.07,89,27,,-20.0,"F, vS",...
N0118,...,...,...,T IV,00,20,07,,+3.07,92,33.3,,-20.0,"vF, S * in centre, f of 2",...
N0119,57,2324,...,...,00,20,17,,+2.88,147,45.4,,-20.0,"pB, S, R, mbM",...
N0120,...,...,...,T IV,00,20,20,,+3.07,92,12,,-20.0,Nebulous *,...
N0121,58,2325,...,...,00,20,25,,+2.69,162,18.4,,-20.0,"pB, pS, lE, vgbM",...
N0122,...,...,...,T IV,00,20,33,,+3.07,92,24,,-20.0,{2 vF neb 4-5' np of *8.5,...
N0123,...,...,...,T IV,00,20,36,,+3.07,92,22,,-20.0,{2 vF neb 4-5' np of *8.5,...
N0124,...,...,...,T IV,00,20,43,,+3.07,92,35.7,,-20.0,"vF, L, dif, 2 F st np",...
N0125,59,23,III 869,...,00,21,41,,+3.08,87,56.1,,-20.0,"vF, S, bM, D* sp",...
N0126,60,...,...,"Ld R, d'A",00,21,54,,+3.08,87,58.1,,-20.0,"vF, S, lE",...
N0127,61,...,...,Ld R,00,22,01,,+3.08,87,54.1,,-20.0,"vF, vS, R, p h 25",...
N0128,62,25,II 854,...,00,22,05,,+3.08,87,54.6,,-20.0,"pB, pS, lE 2d, bM",...
N0129,63,24,VIII 79,...,00,22,06,,+3.30,30,33.1,,-20.0,"Cl, vL, pR, lC, st 9...13",...
N0130,64,...,...,Ld R,00,22,09,,+3.08,87,54.1,,-20.0,"vF, vS, R, f h 25",...
N0131,65,2326,...,...,00,22,43,,+2.98,124,02.0,,-20.0,"F, pL, pmE, vgbM, p of 2",...
N0132,66,26,II 855,...,00,23,00,,+3.08,88,40.9,,-20.0,"pF, cL, R, vglbM, r",...
N0133,5103,...,...,d'A,00,23,21,,+3.35,27,25.7,,-20.0,"Cl, pL, st 10..., D* inv",...
N0134,67,2327,...,...,00,23,28,,+2.98,124,01.8,,-19.9,"vB, L, vmE 47d, psbM, f of 2, *10 np 45""",#
N0135,...,...,...,L I,00,23,30,,+3.04,104,08.0,,-19.9,"vF, vS, R",...
N0136,68,...,VI 35,...,00,23,41,,+3.32,29,15.8,,-19.9,"GC, vF, S, eC",...
N0137,69,...,II 471,d'A,00,23,43,,+3.10,80,34.0,,-19.9,"F, iF, lbM",...
N0138,5104,...,...,m 9,00,23,47,,+3.08,85,37,,-19.9,"F, eS, sbM",...
N0139,5105,...,...,m 10,00,23,54,,+3.08,85,39,,-19.9,"eF, S",...
N0140,...,...,...,St XII,00,23,57,,+3.16,59,58.9,,-19.9,"vF, S, R, gbM",...
N0141,5106,...,...,m 11,00,24,06,,+3.08,85,35,,-19.9,"vF, vS, iR",...
N0142,...,...,...,Mu II,00,24,30,,+3.01,113,24.0,,-19.9,"eF, S, lE, 1st of 3",...
N0143,...,...,...,Mu II,00,24,30,,+3.01,113,21.0,,-19.9,"eF, S, mE, 2nd of 3",...
N0144,...,...,...,Mu II,00,24,30,,+3.01,113,26.0,,-19.9,"eF, vS, R, 3rd of 3",...
N0145,70,27=2328,...,...,00,24,38,,+3.06,95,55.6,,-19.9,"F, pL, vlE, vgbM, *8-9 f 5'",...
N0146,71,28,...,...,00,25,13,,+3.37,27,29.3,,-19.9,"Cl, pL, lC, st 11-12, D*",...
N0147,72,29,...,...,00,25,32,,+3.24,42,16.5,,-19.9,"vF, vL, iR, gsmbM *11",*
N0148,73,239,...,...,00,26,22,,+2.97,122,34.0,,-19.9,"vB, S, lE, 90d, smbM *11",...
N0149,...,...,...,St XIII,00,26,26,,+3.17,60,02.9,,-19.9,"vF, vS, R, gbM *14, *12 sp",...
N0150,...,...,...,Sw VI,00,26,50,,+2.98,118,35.1,,-19.9,"pF, pS, R",...
N0151,74,30=2330,II 478,...,00,26,57,,+3.04,100,28.5,,-19.9,"pF, pL, lE 90d, vglbM",...
N0152,75,2331,...,...,00,27,04,,+2.51,163,53.2,,-19.9,"vF, L, R, vglbM",...
N0153,...,...,...,Sw IV,00,27,14,,+3.04,100,28.4,,-19.9,"pF, pS, R, * nr nf",...
N0154,76,31,III 467,...,00,27,14,,+3.03,103,26.0,,-19.9,"eF, vS, R",...
N0155,...,...,...,"Sw IV, OSt I",00,27,24,,+3.04,101,31.7,,-19.9,"pF, S, R",...
N0156,...,...,...,T V,00,27,28,,+3.04,99,07,,-19.9,"vS, np II 3",...
N0157,78,...,II 3,"d'A, St IX",00,27,40,,+3.04,99,10.2,,-19.9,"pB, L, E, bet 2 cB st",...
N0158,...,...,...,T V,00,27,51,,+3.04,99,05,,-19.9,"vS, nf II 3",...
N0159,77,2332,...,...,00,28,03,,+2.82,146,33.4,,-19.9,"vF, pS, R, glbM, 3 st f",...
N0160,79,32,III 476,...,00,28,42,,+3.15,66,48.8,,-19.9,"vF, vS, stell, *8, 17d, 4'",*
N0161,...,...,...,Sw VI,00,28,44,,+3.06,93,36.2,,-19.9,"eF, eS, R, nearly bet 2 st",...
N0162,5107,...,...,Schultz,00,28,48,,+3.15,66,48.4,,-19.9,"eF, stellar, h 39 sp",...
N0163,81,...,III 954,"d'A, Sw IV",00,28,55,,+3.04,100,53.5,,-19.9,"vF, vS",...
N0164,5108,...,...,m 12,00,29,23,,+3.08,88,02,,-19.9,eF,...
N0165,...,...,...,T V,00,29,24,,+3.04,100,53.5,,-19.9,"F, L, st in centre, f of 2",...
N0166,...,...,...,L II,00,29,30,,+3.03,104,23.0,,-19.9,"eF, S, lE, *11 np",...
N0167,...,...,...,Mu II,00,29,30,,+2.99,114,09.0,,-19.9,"vF, pS, iR",...
N0168,...,...,...,Mu II,00,29,30,,+2.99,113,23.0,,-19.9,"eF, S, E 30d, *10 nf 3'",...
N0169,82,...,...,"d'A, Ld R",00,29,30,,+3.15,66,47.1,,-19.9,"F, pL, D or biN, *6 nf 4'",...
N0170,5109,...,...,m 13,00,29,35,,+3.08,88,52,,-19.9,"F, S, R",...
N0171,83,...,III 223??,...,00,29,41,,+3.01,109,44.1,,-19.9,"vF, pL, lE, 2 pB st sf",...
N0172,...,...,...,Mu II,00,30,00,,+3.00,113,23.0,,-19.9,"eF, S, E",...
N0173,84,33,III 871,...,00,30,02,,+3.08,88,49.8,,-19.9,"vF, S, R, vgbM, *11 sp 80""",...
N0174,85,2333,...,...,00,30,02,,+2.97,120,14.5,,-19.9,"eF, S, vlE, am B st",...
N0175,86,2334,III 223??,...,00,30,21,,+3.00,110,42.2,,-19.9,"pB, pL, E, gbM, r",...
N0176,87,2335,...,...,00,30,22,,+2.45,163,56.5,,-19.9,"eF, S, vlE, r, *8 nr",...
N0177,...,...,...,Mu II,00,30,30,,+2.99,113,21.0,,-19.9,"eF, S, E 175d (?*)",...
N0178,...,...,...,OSt I,00,30,30,,+3.02,104,57.0,,-19.9,"F, S, mE 0d, bM",...
N0179,...,...,...,L II,00,30,36,,+3.01,108,37.0,,-19.9,"eF, eS, R, B * np",...
N0180,88,...,III 876,...,00,30,47,,+3.10,82,06.1,,-19.9,"vF, pL, iR, * np inv",*
N0181,...,...,...,St XIII,00,30,57,,+3.17,61,17.9,,-19.9,"eF, eS, irr, vF * att",...
N0182,89,...,III 870,...,00,31,01,,+3.08,88,02.0,,-19.9,"vF, S, iR, vgbM",...
N0183,...,...,...,St XIII,00,31,03,,+3.17,61,15.6,,-19.9,"pF, vS, R, gbM",...
N0184,...,...,...,St XIII,00,31,09,,+3.17,61,19.4,,-19.9,"eF, eS",...
N0185,90,35,II 707,...,00,31,14,,+3.27,42,26.0,,-19.9,"pB, vL, iR, vgmbM, r",#
N0186,91=99,...,...,d'A,00,31,15,,+3.08,87,36.1,,-19.9,"F, S, R, lbM",...
N0187,...,...,...,OSt I,00,31,30,,+3.02,105,25.9,,-19.8,"F, S, mE 150d, bM",...
N0188,92,34,...,...,00,31,40,,+5.15,05,26.5,,-19.8,"Cl, vL, R, 150-200 st 10...18",...
N0189,93,36,...,...,00,31,40,,+3.41,29,42.5,,-19.8,"Cl, pL, R, st 11...15",...
N0190,...,...,...,Sw V,00,31,48,,+3.09,83,42.6,,-19.8,"vF, S, lE, sev st nr sp",...
N0191,95,38,II 479,...,00,31,53,,+3.04,99,46.4,,-19.8,"pB, pL, iE 0d",...
N0192,96,39,III 872,...,00,32,03,,+3.07,89,54.6,,-19.8,"F, pS, pmE, bM",...
N0193,94,37,III 595,"d'A, Schultz",00,32,07,,+3.08,87,26.4,,-19.8,"F, L, p of 2, *15 close sp",*
N0194,98,40,II 856,...,00,32,07,,+3.08,87,43.9,,-19.8,"pB, S, R, vgbM",...
N0195,5110,...,...,T I,00,32,08,,+3.04,99,53.3,,-19.8,F,...
N0196,100,41,II 860,...,00,32,08,,+3.07,89,51.4,,-19.8,"F, pS, R, psmbM",*
N0197,5111,...,...,m 14,00,32,09,,+3.07,89,53,,-19.8,"eF, s of h 41",...
N0198,97,...,II 857,"d'A, Schultz",00,32,12,,+3.08,87,58.2,,-19.8,"F, S, vgbM",...
N0199,103,...,...,d'A,00,32,21,,+3.08,87,37.9,,-19.8,"F, vS, *8 p 27sec, 45"" s",...
N0200,104,...,II 858,...,00,32,23,,+3.08,87,53.0,,-19.8,"pB, S, vgbM",...
N0201,102,43,III 873,...,00,32,26,,+3.07,89,55.1,,-19.8,"vF, cL, E, vglbM",...
N0202,5112,...,...,St VIII,00,32,28,,+3.08,87,14.0,,-19.8,"eF, vS, ibM",...
N0203,5113,...,...,Copeland (R),00,32,29,,+3.08,87,19.7,,-19.8,"F, R, *9 sp 8'",...
N0204,101,42,...,d'A,00,32,33,,+3.08,87,28.1,,-19.8,"F, pS, R, vgbM, f of 2",...
N0205,105,44,V 18,CH,00,32,46,,+3.24,49,05.0,,-19.8,"vB, vL, mE 165d, vgvmbM",#
N0206,106,45,V 36,...,00,32,57,,+3.24,50,02.2,,-19.8,"vF, vL, mE 0d",#
N0207,108,...,...,Ld R,00,32,57,,+3.02,105,04.0,,-19.8,"vF, S, lE, stellar",...
N0208,5114,...,...,m 15,00,33,08,,+3.08,88,01,,-19.8,pF,...
N0209,...,...,...,L I,00,33,30,,+3.00,109,23.9,,-19.8,"vF, vS, R, bM",...
N0210,107,46,II 452,...,00,33,32,,+3.02,104,38.6,,-19.8,"B, pS, R, psbM, r, *11 p 2'",...
N0211,5115,...,...,St VIII,00,33,47,,+3.08,87,19.7,,-19.8,"eF, S, mbMN",...
N0212,110,2236,...,...,00,33,50,,+2.76,146,56.2,,-19.8,"vF, S, R, p of 2",...
N0213,109,...,III 200,...,00,33,55,,+3.13,74,18.3,,-19.8,"F, S, bet 2 S st",...
N0214,111,47,II 209,...,00,34,03,,+3.17,65,16.1,,-19.8,"pF, pS, gvlbM, r",...
N0215,112,2337,...,...,00,34,26,,+2.76,146,58.5,,-19.8,"F, S, R, am st, f of 2",...
N0216,113,49,III 244,...,00,34,29,,+2.99,111,49.0,,-19.8,"eF, vS, lE",...
N0217,114,48,II 480,...,00,34,30,,+3.03,100,47.0,,-19.8,"F, S, lE 90d, glbM",...
N0218,5116,...,...,St VIII,00,34,57,,+3.22,54,26.4,,-19.8,"eF, vS, R, gbM",...
N0219,5058,...,...,G P Bond,00,35,01,,+3.07,89,51.8,,-19.8,"F, S, R, *11 sp 1'",...
N0220,115,2338,...,...,00,35,02,,+2.34,164,09.9,,-19.9,"F, iR, vgbM, 1st of several",...
N0221,117,51,...,"Legentil, M 32",00,35,05,,+3.25,49,54.2,,-19.8,"!vvB, L, R, psmbMN",#
N0222,118,2339,...,...,00,35,05,,+2.34,164,14.0,,-19.8,"vF, R, 2nd of several",...
N0223,119,...,...,"Bond, d'A",00,35,06,,+3.07,89,55.7,,-19.8,"vF, pS, R",...
N0224,116,50,...,"Sufi, M 31",00,35,07,,+3.25,49,29.8,,-19.8,"!!!eeB, eL, vmE (Andromeda)",#
N0225,120,52,VIII 78,CH,00,35,19,,+3.46,28,58.7,,-19.8,"Cl, L, lC, st 9...10",...
N0226,121,53,...,...,00,35,24,,+3.20,58,10.9,,-19.8,"eF, S, R, *13 s 20""",...
N0227,122,...,II 444,Engelhardt,00,35,28,,+3.06,92,17.7,,-19.8,"F, pL, lbM",...
N0228,...,...,...,St X,00,35,32,,+3.16,67,15.8,,-19.8,"eF, S, R, fainter of 2",...
N0229,...,...,...,St X,00,35,42,,+3.16,67,15.5,,-19.8,"vF, S, R, smaller of 2",...
N0230,...,...,...,L II,00,35,43,,+2.98,114,22.9,,-19.8,"eF, eS, R, bMN",...
N0231,123,2340,...,Dunlop 2??,00,35,51,,+2.33,164,07.3,,-19.8,i train of st and neb,...
N0232,...,...,...,L II,00,36,01,,+2.98,114,19.9,,-19.8,"eF, S, R, bMN",...
N0233,124,54,III 149,...,00,36,05,,+3.20,60,11.0,,-19.8,"F, vS, R, lbM",...
N0234,125,...,II 245,...,00,36,11,,+3.12,76,27.9,,-19.8,"F, pS, i lE, vM",...
N0235,...,...,...,L II,00,36,13,,+2.98,114,17.9,,-19.8,"eF, S, R, bMN",...
N0236,5117,...,...,m 16,00,36,14,,+3.08,87,47,,-19.8,"vF, pL",...
N0237,...,...,...,Sw VI,00,36,33,,+3.07,90,53.6,,-19.8,"Vf, pS, lE, lbM",...
N0238,126,2341,...,...,00,36,53,,+2.80,140,56.7,,-19.8,"eF, pL, R, gvlbM",...
N0239,...,...,...,L I,00,37,30,,+3.06,94,32.9,,-19.8,"pF, pS, E 20d, bMN, *8 f 20sec",...
N0240,...,...,...,Sw V,00,37,58,,+3.09,84,39.3,,-19.8,"vF, S, R, * nr s",...
N0241,127,2342,...,...,00,38,13,,+2.28,164,11.7,,-19.8,"vF, R",...
N0242,128,2343,...,...,00,38,19,,+2.28,164,12.3,,-19.8,"vF, S, bi-N",...
N0243,...,...,...,St XII,00,38,32,,+3.20,60,48.5,,-19.8,"F, vS, R, gbM, *10 p",...
N0244,129,55,III 485,...,00,38,45,,+3.01,106,21.0,,-19.8,"vF, S, iR, r, *10 s 5'",...
N0245,130,...,II 445,...,00,39,04,,+3.06,92,29.2,,-19.8,"F, pS, iF, er",...
N0246,131,56,V 25,...,00,40,01,,+3.02,102,38.4,,-19.7,"vF, L, 4 st in dif neb",...
N0247,132,57,V 20,...,00,40,04,,+2.98,111,31.0,,-19.7,"F, eL, vmE 172d",*
N0248,133,2344,...,...,00,40,13,,+2.24,164,08.6,,-19.7,"F, S, E or biN, vglbM",...
N0249,134,2346,...,Dunlop 19? 21?,00,40,18,,+2.26,163,51.0,,-19.7,"F, pL, vlE, r",...
N0250,...,...,...,Sw III,00,40,18,,+3.10,82,52.0,,-19.7,"eF, vS, R, am 3 st",...
N0251,135,58,III 204,...,00,40,32,,+3.15,71,09.5,,-19.7,"vF, S, R, lbM, * inv, 2 vS st f",...
N0252,136=139,59=60,II 609,...,00,40,33,,+3.20,63,08.6,,-19.7,"pB, S, R, pmbM, r, ** p",...
N0253,138,61=2345,V 1,CH,00,40,38,,+2.95,116,03.7,,-19.7,"!!vvB, vvL, vmE 54d, gbM",*#
