No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N4351,5641,...,...,d'A,12,16,54,,+3.05,77,01.1,,+20.0,"F, pL, iR, bM",...
N4352,2929=5642,1227,II 64,d'A,12,16,55,,+3.05,78,00.6,,+20.0,"cF, cS, lE",*
N4353,...,...,...,Peters,12,16,58,,+3.06,81,24.8,,+20.0,No description,...
N4354,...,...,...,Sw VI,12,16,59,,+3.05,77,01.5,,+20.0,"eeF, pL, v diffic",...
N4355,...,...,...,Todd,12,17,,,+3.07,90,14,,+20.0,"eF, S, R",...
N4356,2913,...,III 481,...,12,17,03,,+3.06,80,42.0,,+20.0,vF,...
N4357,...,...,...,Bigourdan,12,17,07,,+2.95,40,26.4,,+20.0,"F, pS, gbM (? = II 743)",...
N4358,2914,1230,III 799,...,12,17,09,,+2.90,30,50.5,,+20.0,"cF, cS, lE",...
N4359,2916,1229,III 648,...,12,17,10,,+3.01,57,42.6,,+20.0,"cF, pmE 90d, vlbM",...
N4360,...,...,...,"T V, St XIII",12,17,15,,+3.05,79,55.8,,+20.0,"F, F st inv, *9.5 np",...
N4361,2917,1231,I 65,...,12,17,17,,+3.11,108,00.1,,+20.0,"vB, L, R, vsmbMN, r",...
N4362,2918,1233,III 800,...,12,17,17,,+2.90,30,51.5,,+20.0,"vF, cS, R, r",...
N4363,2919,...,III 938,...,12,17,18,,+2.66,14,17.0,,+20.0,"eF, pL, iF",...
N4364,2920,...,III 801,...,12,17,19,,+2.89,30,49.0,,+20.0,"cF, cS, R",...
N4365,2921,1232,I 30,...,12,17,21,,+3.06,81,54.3,,+20.0,"cB, pL, vlE, gl, smbM",...
N4366,2922,...,III 97,...,12,17,23,,+3.06,81,50.0,,+20.0,eF,*
N4367,5643,...,...,d'A,12,17,32,,+3.05,77,02.7,,+20.0,"vF, S, R",...
N4368,2923,...,III 38,...,12,17,35,,+3.05,78,38.0,,+20.0,"vF, vS",...
N4369,2924,1234,I 166,...,12,17,38,,+2.98,49,50.7,,+20.0,"cB, S, R, mbMN, r",...
N4370,2926,1236,II 144,...,12,17,48,,+3.06,81,46.7,,+20.0,"pF, pS, lE, bM",...
N4371,2925,1235,I 22,...,12,17,49,,+3.05,77,31.2,,+20.0,"B, pS, R, gbM",...
N4372,2927,3390,...,Dunlop 67 ??,12,17,50,,+3.41,161,53.3,,+20.0,"GC, pF, L, R, st 12...16",...
N4373,2928,3391,...,...,12,17,56,,+3.16,128,58.2,,+20.0,"pB, S, R, pgvmbM",...
N4374,2930,1237,...,M 84,12,17,58,,+3.05,76,20.2,,+20.0,"vB, pL, R, psbM, r",*
N4375,2931,1238,II 379,...,12,17,59,,+2.99,60,40.1,,+20.0,"F, S, R, bM, * nf 90""",...
N4376,2941,...,II 530,...,12,18,03,,+3.06,83,30.0,,+20.0,"F, S",...
N4377,2942,1239,I 12,...,12,18,07,,+3.04,74,27.7,,+20.0,"B, S, R, smbM",...
N4378,2915,1228,I 123,d'A,12,18,09,,+3.06,84,18.0,,+20.0,"B, S, *8-9 sf 3'",...
N4379,2943,1240,II 87,...,12,18,10,,+3.04,73,37.0,,+20.0,"pS, R, psbMN",*
N4380,2944,1241,...,...,12,18,17,,+3.05,79,13.0,,+20.0,"vF, pL, R, lbM",...
N4381,2945,...,II 743,...,12,18,19,,+2.94,40,24.0,,+20.0,"F, S",...
N4382,2946,1242,...,"Mechain, M 85",12,18,20,,+3.03,71,02.0,,+20.0,"vB, pL, R, bM, * np",...
N4383,5644,...,...,Schoenfeld,12,18,21,,+3.04,72,45.3,,+20.0,"eS, stellar or neb * 11-12",...
N4384,2947,1243,III 879,...,12,18,22,,+2.91,34,43.0,,+20.0,"cF, S, iR",...
N4385,5645,...,...,m 239,12,18,32,,+3.07,88,40,,+20.0,"vF, vS, alm stell",...
N4386,2948,1247,I 277,...,12,18,32,,+2.61,13,41.9,,+20.0,"pB, cL, lE, psmbM",...
N4387,2955,1250,II 167,d'A,12,18,36,,+3.04,76,25.0,,+20.0,"pF, vS, R, *13 90"" np, np of 2",...
N4388,2949=2956,1244,II 168,...,12,18,41,,+3.05,76,33.8,,+20.0,"vF, E, sf of 2",...
N4389,2950,1245,II 749,...,12,18,44,,+2.95,43,32.4,,+20.0,"pB, pL, iE, vglbM",#
N4390,2967,...,III 39,d'A,12,18,45,,+3.05,78,46.1,,+20.0,"vF, pL, R",...
N4391,2952,1248,III 852,...,12,18,46,,+2.82,24,17.2,,+20.0,"cF, S, R, sbM, *** sp",...
N4392,2953,1249,III 729,...,12,18,48,,+2.95,43,25.3,,+20.0,"cF, S, R, vgbM",...
N4393,2954,1246,III 361,...,12,18,49,,+3.01,61,39.8,,+20.0,"vF, vL, iF, B * p",...
N4394,2957,1251,II 55,...,12,18,52,,+3.03,71,00.7,,+20.0,"pB, lE, bM",...
N4395,2958,1252,V 29.1,...,12,18,52,,+2.99,55,40.6,,+20.0,"eF, vL, np of D neb",#
N4396,...,...,...,d'A,12,18,53,,+3.04,73,33.4,,+20.0,"vF, pL, mE",...
N4397,...,...,...,T I,12,18,57,,+3.03,70,54.7,,+20.0,"vF, S, II 55 sp",...
N4398,5646,...,...,d'A,12,18,59,,+3.05,78,32.4,,+20.0,"F, pS, III 39 p 14sec, 14' s",...
N4399,2959,...,...,Ld R,12,19,,+-,+2.09,55,40,+-,+20.0,"{vF, form trapezium with 2958 and 62",...
N4400,2960,...,...,Ld R,12,19,,+-,+2.09,55,40,+-,+20.0,"{vF, form trapezium with 2958 and 62",...
N4401,2962,1252,V 29.2,...,12,19,01,,+2.99,55,42.5,,+20.0,"vF, vL, pslbM, sf of D neb",#
N4402,2965,...,...,Auwers,12,19,02,,+3.04,76,06.2,,+20.0,"F, L, mE 90d (Auw 30)",...
N4403,2963,...,III 755,...,12,19,03,,+3.09,96,54.5,,+20.0,"vF, vS, E",...
N4404,2964,...,III 756,...,12,19,03,,+3.09,96,54.5,,+20.0,"vF, vS, E",...
N4405,2966,1254,II 88,...,12,19,03,,+3.04,73,32,,+20.0,"pF, S, R, vsbM, r",...
N4406,2961,1253,...,M 86,12,19,06,,+3.04,76,16.7,,+20.0,"vB, L, R, gbMN, r",...
N4407,2968,1255,...,...,12,19,11,,+3.04,76,35,,+20.0,f of 2 neb,...
N4408,5647,...,...,d'A,12,19,16,,+3.01,61,21.6,,+20.0,"F, S, r",...
N4409,2970,...,III 17,...,12,19,17,,+3.07,86,44.0,,+20.0,"vF, pS, r",...
N4410,2969,1256,...,...,12,19,21,,+3.05,80,12.2,,+20.0,"pF, vL, R, gbM",...
N4411,...,...,...,Peters,12,19,23,,+3.05,80,21.4,,+20.0,"F, pL",...
N4412,2971,1257,II 34,...,12,19,26,,+3.06,85,15.9,,+20.0,"F, pL, R, gbM, r",...
N4413,2974,1259,II 169,...,12,19,26,,+3.04,76,37.0,,+20.0,"cF, S, gbM, 2 st n, np",...
N4414,2972,1258,I 77,...,12,19,28,,+3.00,58,00.3,,+20.0,"vB, L, E, g, vsmbM *",#
N4415,2973,...,III 482,...,12,19,35,,+3.05,80,47.3,,+20.0,"eF, pS",...
N4416,2975,1260,...,...,12,19,41,,+3.05,81,18.0,,+20.0,"vF, L, R, *7 sp 5'",...
N4417,2979,...,II 155,Vogel,12,19,44,,+3.05,79,38.4,,+20.0,"F, pL, E, lbp",...
N4418,2976,1261,III 492,...,12,19,45,,+3.07,90,06.7,,+20.0,"H: vF, cL, mE. h: F, S, R, * nr",*
N4419,2977,1262,II 113,...,12,19,49,,+3.04,74,10.9,,+20.0,"B, pmE 135d+-, sbM",...
N4420,2978,1263,II 23,...,12,19,51,,+3.07,86,43.7,,+20.0,"F, pL, lE, r (? = III 17)",...
N4421,2981,1264,II 89,...,12,19,58,,+3.04,73,46.1,,+20.0,"pB, pL, pgbM, B * np",...
N4422,2980,1265,III 114,...,12,20,00,,+3.08,95,03.2,,+20.0,"F, vS, R, psbM, 2 S st nr",...
N4423,2982,1266,II 145,...,12,20,02,,+3.06,83,20.7,,+20.0,"vF, vS, E",...
N4424,5648,...,...,d'A,12,20,03,,+3.05,79,48.4,,+20.0,"F, pL, iR, bM",...
N4425,2983,1267,II 170,...,12,20,08,,+3.04,76,29.3,,+20.0,"pF, S, R, bM",...
N4426,5649,...,...,d'A,12,20,10,,+3.01,61,23.3,,+20.0,"Cl, F, S",*
N4427,...,...,...,Bigourdan,12,20,10,,+3.01,61,23,,+20.0,"vF, ? 2 or 3 F st in neb",*
N4428,2985,1269,...,...,12,20,16,,+3.09,97,24.2,,+20.0,"vF, pL",...
N4429,2987,1271,II 65,...,12,20,20,,+3.05,78,07.0,,+20.0,"B, L, cE, psbM, *10 nf",...
N4430,2986,1270,II 146,...,12,20,21,,+3.06,82,57.9,,+20.0,"cF, L, R, gbM",...
N4431,2984,1268,II 171,d'A,12,20,22,,+3.04,76,56.2,,+20.0,"vF, vS, cE, gbM",...
N4432,5650,...,...,m 240,12,20,24,,+3.06,83,00,,+20.0,2 st in eF neb,...
N4433,2990,1273,...,...,12,20,26,,+3.09,97,30.8,,+20.0,"pF, pL, lE",...
N4434,2989,...,II 497,d'A,12,20,30,,+3.05,81,04.3,,+20.0,"pF, vS",...
N4435,2991,1274,I 28.1,...,12,20,35,,+3.04,76,08.8,,+20.0,"vB, cL, R, np of 2",...
N4436,2988,1272,II 172,d'A,12,20,36,,+3.04,76,54.5,,+20.0,"cF, S, gbM",...
N4437,2996,1277,...,...,12,20,39,,+3.07,89,05.7,,+20.0,"F, eE 75d, *10 nf, place that of *",...
N4438,2994,1275,I 28.2,...,12,20,40,,+3.04,76,13.0,,+20.0,"B, cL, vlE, r, sf of 2",...
N4439,2997,3392,...,Dunlop 300?,12,20,45,,+3.29,149,19.1,,+20.0,"Cl, S, st 11...12",...
N4440,2993,1276,II 173,d'A,12,20,48,,+3.04,76,55.9,,+20.0,"B, pS, R, bM, r",...
N4441,2998=3016,1278=1291,II 848,...,12,20,53,,+2.80,24,25.4,,+20.0,"pB, S, iR, bM",*
N4442,2999,1279,II 156,...,12,20,57,,+3.05,79,25.2,,+20.0,"vB, pL, R, smbM",...
N4443,2995,...,...,Ld R,12,21,00,,+3.04,76,06,+-,+20.0,"F, S, k in Ld R s diagram",...
N4444,3000,3393,...,...,12,21,08,,+3.19,132,29.1,,+20.0,"eF, L, R, vgbM",...
N4445,5651,...,...,d'A,12,21,10,,+3.05,79,47.6,,+20.0,"vF, pL, mE",...
N4446,...,...,...,Sw VI,12,21,12,,+3.04,75,18.9,,+20.0,"eeF, pS, R",...
N4447,...,...,...,Sw VI,12,21,14,,+3.04,75,18.9,,+20.0,"eeF, pS, R",...
N4448,3001,1280,I 91,...,12,21,17,,+3.00,60,36.5,,+20.0,"B, L, E 90d, sbM",...
N4449,3002,1281,I 213,...,12,21,23,,+2.94,45,08.0,,+20.0,"vB, cL, mE, D or bifid, rrr, *9 f 5",...
N4450,3003,1282,II 56=II 90,...,12,21,25,,+3.03,72,08.6,,+20.0,"B, L, R, gvmbM *, r, B * sp",*
N4451,5652,...,...,d'A,12,21,32,,+3.05,79,57.8,,+20.0,"pB, pS, R, bM, *13 s",...
N4452,3008,...,I 23,Schoenfeld,12,21,38,,+3.04,77,28.2,,+20.0,"pB, S, vmE",...
N4453,3004,1283,II 26,...,12,21,39,,+3.06,82,42.8,,+20.0,"F, pS, bM, r",*
N4454,3005,1284,II 180,...,12,21,40,,+3.08,91,10.2,,+20.0,"F, L, R, gbM, er",...
N4455,3006,1285,II 355,...,12,21,42,,+3.01,66,24.4,,+20.0,"F, L, E, gbM, 2 B st nf",...
N4456,3007,3394,...,...,12,21,43,,+3.15,119,19.7,,+20.0,"eeF, vS, *13 att",...
N4457,3009,1286,II 35,...,12,21,50,,+3.06,85,39.2,,+20.0,"cB, pS, R, smbMN",...
N4458,3010,1287,II 1211,...,12,21,52,,+3.04,75,59.0,,+20.0,"pB, S, R, bM, p of 2",...
N4459,3012,1288,I 161,...,12,21,55,,+3.04,75,14.8,,+20.0,"pB, pL, iR, bM, r, *8 sf 2",...
N4460,3011,1289,I 212=II 750,...,12,21,57,,+2.94,44,21.5,,+20.0,"B, pL, E 123d, psbM",...
N4461,3013,1290,II 122=II 174,...,12,21,58,,+3.04,76,02.5,,+20.0,"pF, S, R, bM, f of 2",...
N4462,3014,3396,III 764,...,12,22,02,,+3.13,112,23.5,,+20.0,"pB, pS, E 130d, sbM",...
N4463,3015,3395,...,...,12,22,03,,+3.35,154,01.0,,+20.0,"Cl, P, vlC",...
N4464,3018,1292,III 483,...,12,22,14,,+3.05,81,04.1,,+20.0,"F, vS, R, pgbM",...
N4465,...,...,...,Bigourdan,12,22,19,,+3.05,81,12,,+20.0,"vF, v dif",...
N4466,5653=3022,...,...,d'A,12,22,23,,+3.05,81,31.9,,+20.0,"vF, pS, iR",...
N4467,5654,...,...,"O Struve, d'A",12,22,24,,+3.05,81,13.6,,+20.0,"vF, vS, lE",...
N4468,3017,...,II 630,d'A,12,22,26,,+3.04,75,10.6,,+20.0,"F, cL",...
N4469,3019,...,II 157,"d'A, St XIII",12,22,26,,+3.05,80,28.0,,+20.0,"pF, pL, mE, bM, r",...
N4470,3020,1293,II 18=II 498,...,12,22,31,,+3.05,81,24.1,,+20.0,"F, pL, iR, bM",...
N4471,5655,...,...,J Schmidt,12,22,34,,+3.05,81,19.4,,+20.0,"vF, vS (not found by d'A)",...
N4472,3021,1294,...,"Oriani, M 49",12,22,40,,+3.05,81,13.5,,+20.0,"vB, L, R, mbM, r",*
N4473,3030,...,II 114,d'A,12,22,44,,+3.04,75,47.8,,+20.0,pB,...
N4474,3026,1295,II 117=II 629,...,12,22,49,,+3.04,75,09.4,,+20.0,"pF, R, r",...
N4475,3027,1297,III 362,...,12,22,49,,+3.00,61,58.5,,+20.0,"eF, pL, R",...
N4476,3028,1296,II 123,...,12,22,54,,+3.04,76,52.7,,+20.0,"F, S, R, bM, 1st of 3",#
N4477,3025,...,II 115,"d'A, Schultz",12,22,57,,+3.02,75,33.4,,+20.0,"pB, cL",#
N4478,3031,1298,II 124,...,12,23,12,,+3.04,76,53.8,,+19.9,"pB, S, R, psbM, 2nd of 3",...
N4479,3029,...,II 116,d'A,12,23,14,,+3.04,75,39.0,,+19.9,"pB, pL",...
N4480,3032=3060,1299,II 531,...,12,23,18,,+3.06,84,58.7,,+19.9,"pF, pS, E, bs",...
N4481,5656,...,...,d'A,12,23,24,,+2.77,25,11.5,,+19.9,"pF, vS, R, *13 att",...
N4482,3033,...,III 40,...,12,23,33,,+3.04,78,29.0,,+19.9,"eF, pL",...
N4483,5657,...,...,d'A,12,23,36,,+3.05,80,12.6,,+19.9,"pB, pS, R, bM",...
N4484,3034,1300,...,...,12,23,37,,+3.10,100,51.9,,+19.9,"pF, S, R, gbM",...
N4485,3041,1306,I 197,"d'A, Rumker",12,23,42,,+2.94,47,31.5,,+19.9,"B, pS, iR, np of 2",#
N4486,3035,1301,...,M 87,12,23,44,,+3.04,76,50.1,,+19.9,"vB, vL, R, mbM, 3rd of 3",...
N4487,3036,...,II 776,...,12,23,44,,+3.09,97,18.5,,+19.9,"F, vL, er",...
N4488,3037,1302,III 484,...,12,23,45,,+3.05,80,51.6,,+19.9,"vF, vS, lE",...
N4489,3038,1303,II 91,...,12,23,48,,+3.03,72,27.9,,+19.9,"pF, cS, R, gbM",...
N4490,3042,1308,I 198,"d'A, Rumker",12,23,49,,+2.94,47,34.8,,+19.9,"vB, vL, mE 130d, r, sf of 2",#
N4491,3039,1304,III 41,...,12,23,52,,+3.04,77,44.8,,+19.9,"F, L, R",...
N4492,3040,1305,II 499,...,12,23,53,,+3.05,81,08.9,,+19.9,"pF, pL, vglbM, 2 st nr",...
N4493,5658,...,...,m 241,12,23,57,,+3.07,88,37,,+19.9,"vF, vS, iR",...
N4494,3043,1307,I 83,...,12,24,25,,+3.00,63,27.1,,+19.9,"vB, pL, R, vsmbMN",...
N4495,3044,1310,III 301,...,12,24,26,,+2.99,60,05.1,,+19.9,"pF, cS, R, pslbM",...
N4496,3045,1309,II 36,...,12,24,30,,+3.06,85,17.8,,+19.9,"F, cL, biN or D neb",...
N4497,3046,...,III 42,...,12,24,31,,+3.04,77,37.0,,+19.9,vF (d'A pF),...
N4498,3051,...,III 69,d'A,12,24,36,,+3.02,72,22.3,,+19.9,"vF, pL, E, ? biN",...
N4499,3047,3397,...,...,12,24,40,,+3.20,129,12.3,,+19.9,"vF, L, R, vglbM",...
N4500,3048,1311,I 234,...,12,24,53,,+2.83,31,15.7,,+19.9,"B, cS, E, pgbM, *9 f 50""",...
N4501,3049,1312,...,M 88,12,24,55,,+3.03,74,48.2,,+19.9,"B, vL, vmE",*#
N4502,3053,1314,II 92,...,12,24,59,,+3.03,72,32.4,,+19.9,"vF, S",...
N4503,3052,1313,II 66,...,12,25,01,,+3.04,78,03.0,,+19.9,"pB, S, R, gbM",...
N4504,3054,1398,II 771,...,12,25,04,,+3.09,96,46.7,,+19.9,"pB, cL, iE, gvlbM, cr",...
N4505,3055,1315,III 18,...,12,25,07,,+3.06,85,14.9,,+19.9,"vF, cL, r, f of 2",...
N4506,3056,1316,II 631,...,12,25,07,,+3.03,75,48.4,,+19.9,"cF, pmE 90d+-, gbM, *9 p 8sec",...
N4507,3057,3399,...,...,12,25,10,,+3.20,129,08.1,,+19.9,"pB, S, R, psmbM *16",...
N4508,3058,1317,...,...,12,25,10,,+3.06,83,24.0,,+19.9,"vS, R, sbM *13",...
N4509,3059,1318,...,...,12,25,15,,+2.97,57,08.0,,+19.9,"vF, S, R, lbM",...
N4510,5659,...,...,d'A,12,25,26,,+2.75,24,59.8,,+19.9,"Cl, vS, st F, mC",...
N4511,3061,1319,III 834,...,12,25,33,,+2.83,32,45.9,,+19.9,"pF, vS, iR, vgbM",...
N4512,3062,1321,...,...,12,25,45,,+2.75,25,29.8,,+19.9,"pB, S, R, psbM",...
N4513,5660,...,...,d'A,12,25,46,,+2.71,22,53.5,,+19.9,"F, R (? vS Cl)",...
N4514,3063,1320,III 302,...,12,25,48,,+2.98,59,30.9,,+19.9,"eF, vS, R, bM",...
N4515,3067,1324,II 93,...,12,26,00,,+3.02,72,57.2,,+19.9,"F, vS, bM *",...
N4516,3065,1323,III 78,...,12,26,03,,+3.03,74,38.7,,+19.9,"F, pS, R, r",...
N4517,3066,...,IV 5,...,12,26,03,,+3.07,89,08.9,,+19.9,"cB, vL, vmE 89d, pB * in cont",...
N4518,3064,1322,...,...,12,26,05,,+3.05,81,22.5,,+19.9,"F, S, R, bM",...
N4519,3068,...,II 158,...,12,26,22,,+3.05,80,34.0,,+19.9,"F, pL, R, bM, r",...
N4520,3070,...,II 757,...,12,26,24,,+3.09,96,37.0,,+19.9,"vF, S, 2 vS st inv",...
N4521,3071=3069,1326,II 849,d'A,12,26,30,,+2.74,25,17.0,,+19.9,"pB, S, pmE, pgbM, *10 p 12sec",*
N4522,3072,1325,...,...,12,26,33,,+3.04,80,02.8,,+19.9,"eF, pL, lE, vlbM",...
N4523,5661,...,...,d'A,12,26,35,,+3.03,74,03.8,,+19.9,"Cl + neb, close to a **",...
N4524,3073,1327,...,...,12,26,38,,+3.10,101,14.4,,+19.9,"vF, iF, bM",...
N4525,3074,1328,II 325,...,12,26,53,,+2.98,58,58.0,,+19.9,"F, pL, iR, bM",...
N4526,3075,1329,I 31=I 38,...,12,26,57,,+3.05,81,31.6,,+19.9,"vB, vL, mE 120d+-, psmbM, bet 2 st 7m",...
N4527,3076,1330,II 37,...,12,27,00,,+3.06,86,34.4,,+19.9,"pB, L, pmE 69d, mbM",...
N4528,3077,1331,II 67,...,12,27,01,,+3.04,77,54.5,,+19.9,"pF, cS, R, bM, *9 f 30sec",...
N4529,3078,...,III 26,...,12,27,02,,+3.01,68,41.9,,+19.9,"eF, L",*
N4530,3079,1332,...,...,12,27,03,,+2.93,47,52.8,,+19.9,Nebulous * 4 mag??? (8 Canum),*
N4531,3081,1333,II 175,...,12,27,11,,+3.03,76,09.3,,+19.9,"F, pL, R, vgbM",...
N4532,3082,1334,II 147,...,12,27,12,,+3.05,82,46.2,,+19.9,"pB, pL, pmE, vgbM, r",...
N4533,...,...,...,T I,12,27,12,,+3.06,86,53.8,,+19.9,"F, V 2 sf",...
N4534,3083,1336,II 410,...,12,27,13,,+2.95,53,42.2,,+19.9,"cF, L, lE, vglbM, r",...
N4535,3080,...,II 500,...,12,27,15,,+3.05,81,01.7,,+19.9,"pF, vL, r",...
N4536,3085,1337,V 2,...,12,27,18,,+3.06,87,02.5,,+19.9,"B, vL, mE 110d, sbM, er",#
N4537,...,...,...,Sw I,12,27,21,,+2.86,38,24.8,,+19.9,"eeF, S, R, nearly bet 2 st",...
N4538,5662,...,...,m 242,12,27,31,,+3.06,85,55,,+19.9,"eF, vS, nearly R",...
N4539,3086,1338,...,...,12,27,36,,+3.02,71,00.8,,+19.9,"pB, pmE",...
N4540,3084,1335,II 94=II 119,d'A,12,27,47,,+3.02,73,40.0,,+19.9,"F, pS, bM, r",...
N4541,3090,1342,III 493,Holden,12,28,00,,+3.07,89,28.1,,+19.9,"F, S, R, gbM",...
N4542,3087,1341,...,...,12,28,07,,+2.86,38,25.3,,+19.9,"eF, pL, R",...
N4543,3088,1340,...,...,12,28,12,,+3.05,83,06.6,,+19.9,"pF, cS, R, bM",...
N4544,...,...,...,Sw VI,12,28,13,,+3.06,86,11.2,,+19.9,"vF, S, R, bet 2 st",...
N4545,3089,1346,II 850,...,12,28,17,,+2.72,25,42.6,,+19.9,"F, L, iR, vgbM, S * nf",...
N4546,3092,1339,I 160,...,12,28,18,,+3.08,93,01.2,,+19.9,"vB, cL, pmE 78d, vsmbMN",...
N4547,3091,1344,III 802,...,12,28,20,,+2.78,30,19.0,,+19.9,"vF, pS, E, vgbM, *9 f 2', p of 2           .",..
N4548,3093,1345,II 120,...,12,28,23,,+3.03,74,43.8,,+19.9,"B, L, lE, lbM",...
N4549,3094,1347,III 807,...,12,28,24,,+2.78,30,17.7,,+19.9,"eF, pS, E, f of 2",...
N4550,3095,1343,I 36,...,12,28,26,,+3.03,77,00.5,,+19.9,"pB, S, vlE, sp of 2",...
N4551,3096,1349,I 37,...,12,28,34,,+3.03,76,57.8,,+19.9,"pB, S, R, bM, nf of 2",...
N4552,3097,1348,...,M 89,12,28,36,,+3.03,76,40.3,,+19.9,"pB, pS, R, gmbM",...
N4553,3098,3400,...,...,12,28,37,,+3.21,128,39.8,,+19.9,"F, vlE, glbM",...
N4554,...,...,...,T V,12,28,37,,+3.03,78,02.5,,+19.9,vF,...
N4555,3099,1350,II 343,...,12,28,43,,+2.98,62,42.3,,+19.9,"B, pS, iR, vsmbM * 12",...
N4556,3100,1351,II 380,...,12,28,46,,+2.98,62,18.8,,+19.9,"F, pL",...
N4557,...,...,...,Bigourdan,12,28,53,,+2.98,62,11.5,,+19.9,Nebulous *,...
N4558,3102,1354,...,...,12,28,57,,+2.98,62,15.0,,+19.9,"vF, nf of 2 or ? 3",...
N4559,3101,1352,I 92,...,12,29,00,,+2.98,61,16.1,,+19.9,"vB, vL, mE 150d, gbM, 3 st f",#
N4560,3103,1353,I 119,...,12,29,00,,+3.05,81,33.4,,+19.9,"cB, pL, R, gbM",*
N4561,3104,1355,II 407,...,12,29,06,,+3.01,69,54.3,,+19.9,"pB, pL, vlE, lbM, r",...
N4562,...,...,...,T V,12,29,,,+2.99,63,16,+-,+19.9,"S, sp V 24",...
N4563,5663,...,...,d'A,12,29,17,,+2.98,62,17.2,,+19.9,"F, vS, R, mbM",...
N4564,3105,1356,II 68,...,12,29,22,,+3.03,77,47.4,,+19.9,"pB, S, lE, psbM",...
N4565,3106,1357,V 24,...,12,29,24,,+2.09,63,14.5,,+19.9,"B, eL, eE 135d, vsbMN = *10-11",#
N4566,3107,1360,III 880,...,12,29,26,,+2.82,35,00.0,,+19.9,"pF, S, iR, gbM",...
N4567,3108,1358=1363,IV 8,...,12,29,27,,+3.04,77,58.2,,+19.9,"vF, L, np of D neb} pos 160d+-",#
N4568,3109,1359=1363,IV 9,...,12,29,29,,+3.04,77,59.4,,+19.9,"vF, L, sf of D neb} pos 160d+-",#
N4569,3111,...,...,M 90,12,29,46,,+3.03,76,03.9,,+19.9,"pL, bNM",...
N4570,3110,1361,I 32,...,12,29,47,,+3.05,81,59.1,,+19.9,"cB, pS, mE 0d+-, sbMrN",...
N4571,3113,1362,III 602,"M 91??, d'A",12,29,50,,+3.02,75,01.7,,+19.9,"vF, L, E, vgbM, *9 nf nr",*#
N4572,3112,1364,III 939,...,12,29,56,,+2.39,14,59.9,,+19.9,"eF, S",...
N4573,3114,3401,...,...,12,30,07,,+3.24,132,51.2,,+19.9,"vF, S, *10 n 30""",...
N4574,3115,3402,...,...,12,30,18,,+3.20,124,44.4,,+19.9,"vF, L, lE, vglbM",...
N4575,3116,3403,...,...,12,30,19,,+3.22,129,46.0,,+19.9,"F, S, pmE, 2 st p",...
N4576,...,...,...,Holden,12,30,23,,+3.06,84,51.5,,+19.9,"F, *7 sf",...
N4577,3117,...,III 13,...,12,30,24,,+3.05,83,09.9,,+19.9,"vF, vS",...
N4578,3118=3119,1365=1366,II 15,...,12,30,26,,+3.04,79,40.4,,+19.9,"pF, pS, R, sbMN, * np",*
N4579,3121,1368,...,M 58,12,30,39,,+3.03,77,24.7,,+19.9,"B, L, iR, vmbM, r",...
N4580,3122,1369,I 124,...,12,30,41,,+3.05,83,51.9,,+19.9,"pB, L, vgbM",...
N4581,...,...,...,Holden,12,30,56,,+3.06,87,44,,+19.9,"F, S, bM stell N",...
N4582,5071,...,...,S Coolidge,12,31,01,,+3.07,89,02.8,,+19.9,*12 in F neb,...
N4583,3123,1370,III 495,...,12,31,14,,+2.95,55,46.3,,+19.9,"cF, S, lE, bM",...
N4584,3124,...,...,d'A,12,31,17,,+3.02,76,07.2,,+19.9,"vF, S, R",...
N4585,5664,...,...,d'A,12,31,19,,+2.97,60,17.4,,+19.9,"vF, eS",...
N4586,3125,1371,I 125,...,12,31,20,,+3.06,84,54.7,,+19.9,"pB, L, E, psbM",...
N4587,...,...,...,Palisa,12,31,28,,+3.06,86,34.4,,+19.9,"F, pS, mbM",...
N4588,3126,...,III 98,...,12,31,46,,+3.05,82,25.9,,+19.9,"vF, eS",...
N4589,3127,1374,I 273,...,12,31,59,,+2.37,15,02.4,,+19.9,"cB, L, lE, pgmbM",*
N4590,3128,3404,...,M 68,12,32,05,,+3.17,115,58.8,,+19.8,"GC, L, eRi, vC, iR, rrr, st 12",...
N4591,3129,1372,III 504,...,12,32,07,,+3.05,83,12.5,,+19.8,"vF, cS",...
N4592,3130,1373,II 31,...,12,32,08,,+3.07,89,46.3,,+19.8,"F, L, E 90d+-, vgbM",...
N4593,3131,1375,II 183,...,12,32,27,,+3.09,94,34.4,,+19.8,"pB, cL, E, sbMN = *",...
N4594,3132,1376,I 43,...,12,32,43,,+3.11,100,51.2,,+19.8,"!, vB, vL, cE 92d, vsmbMN",#
N4595,3133,1377,II 632,...,12,32,50,,+3.02,73,56.1,,+19.8,"pF, pL, R, gbM",...
N4596,3134,1378,I 24,...,12,32,51,,+3.03,79,03.2,,+19.8,"B, pS, R, gmbM, r, 3 st f",...
N4597,3135,...,II 636,...,12,32,54,,+3.09,95,02.4,,+19.8,"F, vL, bM",...
N4598,3136,...,III 105,...,12,33,12,,+3.04,80,51.4,,+19.8,"eF, L, R, vlbM",...
N4599,3137,...,III 509,...,12,33,14,,+3.07,88,00.9,,+19.8,"vF, vS",...
N4600,3138,1379,II 577,...,12,33,14,,+3.06,86,06.6,,+19.8,"F, S, R, 2 st 8 f",...
